nazev;tag;proces;kategorie;ulice;cp;psc;kontakt
VERONI coffee & chocolate;potraviny;nakoupit udržitelně;eko-obal;Gorkého;85/42;60200;https://www.veroni.cz
Žádný Cukrbliky;potraviny;nakoupit udržitelně;eko-obal;Cejl;109;60200;http://zadnycukrbliky.cz/
Vegalité;potraviny;nakoupit udržitelně;eko-obal;Slovákova;359/10;60200;http://vegalite.cz
Castellana Trattoria;potraviny;nakoupit udržitelně;eko-obal;Novobranská;4;60200;http://www.castellana.cz/
Padagali;potraviny;nakoupit udržitelně;eko-obal;Kotlářská;51a;60200;http://padagali.cz/
Coffee Trail - Lidická;potraviny;nakoupit udržitelně;eko-obal;Lidická;1878/46;60200;https://www.coffeetrail.cz/
Coffee Trail - Štěfánikova;potraviny;nakoupit udržitelně;eko-obal;Štefánikova;93/22;60200;https://www.coffeetrail.cz/
Gabi & Kler s.r.o.;potraviny;nakoupit udržitelně;eko-obal;Čápkova;45613;60200;
ITAlove;potraviny;nakoupit udržitelně;eko-obal;Francouzská;364/33;60200;https://www.facebook.com/ITAloveBrno
Výdejna Scuk ;potraviny;nakoupit udržitelně;lokální dodavatel;třída Kapitána Jaroše;7 b;60200;scuk.cz
Výdejna Scuk ;potraviny;nakoupit udržitelně;lokální dodavatel;Vlhká;8/164;60200;scuk.cz
Zlevněnka Veveří;textil;nakoupit udržitelně;bazar;Veveří;37/475;60200;https://www.zlevnenka.cz/
LENA.BE;textil;nakoupit udržitelně;second hand;Sokolská;4/364;60200;https://www.facebook.com/magdalenabergmanova
Lovemusic;textil;nakoupit udržitelně;second hand;Lidická;77/718;60200;https://shop.lovemusic.cz/
Goodways;potraviny;nakoupit udržitelně;eko-obal;Radnická;11/376;60200;https://mygoodways.com/cs
Farma Zelenka;potraviny;nakoupit udržitelně;lokální dodavatel;Gorkého;22/70;60200;https://www.krocan.cz/prodejny
Farma Zelenka;potraviny;nakoupit udržitelně;lokální dodavatel;Lidická;24;60200;https://www.krocan.cz/prodejny
Sklizeno u Ronda;potraviny;nakoupit udržitelně;lokální dodavatel;Křídlovická;350/47;60300;https://www.sklizeno.cz/o-nas/
BMK servis s.r.o.;domacnost;opravit;oprava spotřebičů;Křídlovická;371/68;60300;https://www.bmkservis.cz/
PERFEKT SERVIS;domacnost;opravit;oprava spotřebičů;Václavská;;60300;https://www.perfektservis.cz/
Jet Investment, a.s.;potraviny;nakoupit udržitelně;eko-obal;Hlinky;49/126;60300;https://www.jetinvestment.cz/
BEZz - Bezobalový obchod Brno;potraviny;nakoupit udržitelně;lokální dodavatel;Václavská;13;60300;https://www.bezz.eu/kontakt/
Mobil servis;domacnost;opravit;oprava spotřebičů;Tábor;;61180;
Bazar Antique;domacnost;nakoupit udržitelně;bazar;Malátova;2344/12;61200;http://www.bazar-brno-bazar.cz/
Královopolský bazar nábytku;domacnost;nakoupit udržitelně;bazar;Královo Pole;;61200;http://bazar-nabytku-brno.cz/
Nadační obchod Veronica Palackého třída;domacnost;nakoupit udržitelně;bazar;Vackova;;61200;https://nadace.veronica.cz/page/nadacni-obchody/oteviraci-doba-a-kontakty.php
Zlevněnka Štefánikova;potraviny;nakoupit udržitelně;bazar;Štefánikova;113/44;61200;https://www.zlevnenka.cz/
Potraviny ke zdraví - zdravá výživa a farmářské produkty;potraviny;nakoupit udržitelně;lokální dodavatel;Pasáž Koruna;;61200;https://www.facebook.com/Potravinykezdravi
Sklizeno u Semilassa;potraviny;nakoupit udržitelně;lokální dodavatel;Palackého třída;238/93;61200;https://www.sklizeno.cz/o-nas/
Bazárek Svět dětí;textil;nakoupit udržitelně;second hand;Palackého třída;;61200;
oprava obuvia tašek Zemanová Helena;domacnost;opravit;oprava obuvi;Královo Pole;;61200;http://kozenekabelkyseznam.webmium.com/kontakt
Výroba klíčů a razítek, opravy obuvi - Cimburkova;domacnost;opravit;oprava obuvi;Cimburkova;;61200;https://rychlosluzby.cz/
oprava oděvů;domacnost;opravit;oprava oděvů;Královo Pole;2710/17;61200;https://www.oprava-odevu-brno.cz/
Libor Vobořil - Opravy Praček;domacnost;opravit;oprava spotřebičů;Palackého třída;2613/113;61200;Není k dispozici
TELMONT BRNO;domacnost;opravit;oprava spotřebičů;Palackého třída;2657/168;61200;http://opravatvbrno.cz/
iLoveServis Brno;domacnost;opravit;oprava spotřebičů;Cimburkova;;61200;https://www.iloveservis.cz/
Krejčovství;textil;opravit;oprava oděvů;Palackého třída;92;61200;
Monro;textil;opravit;oprava oděvů;Skácelova;24;61200;
Nákupní centrum Královo Pole;domacnost;opravit;oprava spotřebičů;Cimburkova;;61200;
Forky's Brno - Cimburková;potraviny;nakoupit udržitelně;eko-obal;Cimburkova;593/4;61200;https://www.forkys.eu/
Klub Cestovatelů;potraviny;nakoupit udržitelně;eko-obal;Veleslavínova;183/14;61200;https://www.klubcestovatelubrno.cz/
Výdejna Scuk ;potraviny;nakoupit udržitelně;lokální dodavatel;Mojmírovo náměstí;6/3105;61200;scuk.cz
RE-USE point  ul. Jana Svobody;domacnost;darovat;re-use centrum;Jana Svobody;SSO Jana Svobody;61300;https://www.sako.cz/sberna-strediska-a-kontejnery/cz/
Nóbl Bazar;textil;nakoupit udržitelně;bazar;Černá Pole;1739/32;61300;https://www.zivefirmy.cz/grycova-marie_f1135562
Nebalenka;potraviny;nakoupit udržitelně;bezobalový obchod;Štefánikova čtvrť;998/25;61300;https://www.facebook.com/nebalenkabrno/
Zvaž to - bezobalový obchod Brno Černá pole;potraviny;nakoupit udržitelně;bezobalový obchod;Štefánikova čtvrť;998/25;61300;https://www.facebook.com/bezobalovyobchodbrno/
Masová bedýnka;potraviny;nakoupit udržitelně;lokální dodavatel;Merhautova;937/51;61300;http://www.masovabedynka.cz/
Nosit Brno;textil;nakoupit udržitelně;lokální dodavatel;Zábrdovice;;61300;https://shop.nositbrno.cz/cs/
Opravy obuvi Svoboda Petr;domacnost;opravit;oprava obuvi;Štefánikova čtvrť;1243/27;61300;https://www.reklamacni-opravy-obuvi.cz/
oprava oděvů- úpravy a opravy oděvů Brno;domacnost;opravit;oprava oděvů;Štefánikova čtvrť;1241/23;61300;http://www.upravy-opravy.cz/
Pavel Anderle - Servis spotřebičů Brno;domacnost;opravit;oprava spotřebičů;Merhautova;444/34;61300;https://www.opravy-pracek-mycek-brno.cz/
ProComs servis, s.r.o.;domacnost;opravit;oprava spotřebičů;Merhautova;;61300;http://www.procoms.cz/
Opravna obuvi;textil;opravit;oprava oděvů;Merhautova;;61300;
